6201 東証1部 (株)豊田自動織機（輸送用機器）,,,,,
"2019-02-26","5730","5780","5720","5750","383400","5750"
"2019-02-27","5750","5800","5730","5730","469000","5730"
"2019-02-28","5750","5760","5700","5710","501600","5710"
"2019-03-01","5680","5730","5660","5690","402300","5690"
"2019-03-04","5770","5770","5700","5730","252000","5730"
"2019-03-05","5760","5770","5620","5660","546000","5660"
"2019-03-06","5690","5690","5620","5670","397400","5670"
"2019-03-07","5690","5720","5630","5690","667500","5690"
"2019-03-08","5700","5740","5650","5700","863700","5700"
"2019-03-11","5740","5820","5730","5810","557400","5810"
"2019-03-12","5910","6040","5890","6000","804500","6000"
"2019-03-13","6020","6020","5740","5810","702100","5810"
"2019-03-14","5860","5860","5680","5690","621700","5690"
"2019-03-15","5710","5770","5690","5720","723100","5720"
"2019-03-18","5730","5760","5680","5760","349300","5760"
"2019-03-19","5700","5730","5660","5700","381200","5700"
"2019-03-20","5740","5810","5700","5750","554400","5750"
"2019-03-22","5790","5800","5710","5780","451000","5780"
"2019-03-25","5680","5680","5540","5590","410800","5590"
"2019-03-26","5630","5720","5600","5700","616700","5700"
"2019-03-27","5600","5620","5510","5600","534600","5600"
"2019-03-28","5550","5550","5460","5510","410400","5510"
"2019-03-29","5570","5580","5510","5550","411100","5550"
"2019-04-01","5630","5750","5610","5700","484200","5700"
"2019-04-02","5820","5880","5810","5840","479200","5840"
"2019-04-03","5850","5870","5810","5860","354500","5860"
"2019-04-04","5980","6040","5940","6010","477000","6010"
"2019-04-05","6000","6090","5980","6050","423400","6050"
"2019-04-08","6090","6120","6050","6070","404100","6070"
"2019-04-09","6040","6090","6000","6080","265200","6080"
"2019-04-10","6000","6090","5970","6060","272000","6060"
"2019-04-11","6020","6090","5950","6060","410400","6060"
"2019-04-12","6060","6070","5980","6000","367600","6000"
"2019-04-15","6120","6180","6070","6070","417300","6070"
"2019-04-16","6020","6090","5990","6080","317300","6080"
"2019-04-17","6140","6190","6100","6150","361100","6150"
"2019-04-18","6200","6280","6180","6200","563200","6200"
"2019-04-19","6280","6300","6170","6200","406300","6200"
"2019-04-22","6170","6230","6140","6210","273900","6210"
"2019-04-23","6190","6190","6100","6140","376900","6140"
"2019-04-24","6160","6160","6060","6060","435300","6060"
"2019-04-25","6110","6150","6090","6120","359600","6120"
"2019-04-26","6020","6330","5850","6300","976000","6300"
"2019-05-07","6240","6290","5990","6110","713500","6110"
"2019-05-08","6010","6040","5810","5920","831300","5920"
"2019-05-09","5960","5970","5830","5840","807800","5840"
"2019-05-10","5850","5940","5800","5850","703300","5850"
"2019-05-13","5830","5840","5720","5780","527000","5780"
"2019-05-14","5640","5740","5620","5730","520200","5730"
"2019-05-15","5680","5720","5630","5720","522600","5720"
"2019-05-16","5740","5740","5650","5690","541200","5690"
"2019-05-17","5670","5690","5590","5630","576600","5630"
"2019-05-20","5690","5710","5590","5650","388700","5650"
"2019-05-21","5590","5650","5560","5600","532800","5600"
"2019-05-22","5610","5680","5590","5600","392500","5600"
"2019-05-23","5550","5590","5520","5570","339300","5570"
"2019-05-24","5510","5540","5460","5540","394400","5540"
"2019-05-27","5540","5630","5540","5620","247600","5620"
"2019-05-28","5610","5670","5590","5620","381700","5620"
"2019-05-29","5550","5600","5530","5560","408400","5560"
"2019-05-30","5520","5610","5510","5600","349800","5600"
"2019-05-31","5580","5620","5540","5590","559600","5590"
"2019-06-03","5490","5570","5470","5540","426800","5540"
"2019-06-04","5500","5630","5500","5610","383600","5610"
"2019-06-05","5760","5820","5720","5770","534400","5770"
"2019-06-06","5730","5800","5720","5770","400100","5770"
"2019-06-07","5810","5820","5780","5800","326400","5800"
"2019-06-10","5910","5950","5870","5900","435300","5900"
"2019-06-11","5910","6010","5900","5960","425700","5960"
"2019-06-12","5930","5960","5890","5910","375400","5910"
"2019-06-13","5850","5900","5800","5840","448500","5840"
"2019-06-14","5860","5910","5820","5880","332500","5880"
"2019-06-17","5820","5820","5750","5780","495700","5780"
"2019-06-18","5800","5870","5790","5790","312300","5790"
"2019-06-19","5860","6000","5860","5970","466000","5970"
"2019-06-20","5920","5940","5800","5810","489500","5810"
"2019-06-21","5820","5840","5700","5720","650800","5720"
"2019-06-24","5750","5840","5720","5790","282100","5790"
"2019-06-25","5820","5910","5800","5830","369900","5830"
"2019-06-26","5800","5860","5790","5800","262100","5800"
"2019-06-27","5840","5910","5830","5910","299500","5910"
"2019-06-28","6000","6000","5900","5930","415000","5930"
"2019-07-01","6000","6040","5930","6040","360000","6040"
"2019-07-02","6010","6020","5960","6010","363800","6010"
"2019-07-03","5930","5940","5880","5910","331200","5910"
"2019-07-04","5910","5970","5900","5940","181800","5940"
"2019-07-05","5920","5970","5900","5950","312400","5950"
"2019-07-08","5990","6010","5910","5940","331900","5940"
"2019-07-09","6020","6050","5900","5920","378200","5920"
"2019-07-10","5840","5910","5810","5890","477900","5890"
"2019-07-11","5910","5960","5870","5920","409600","5920"
"2019-07-12","5940","5960","5870","5930","338300","5930"
"2019-07-16","5930","6010","5930","5980","354200","5980"
"2019-07-17","5940","5980","5900","5930","371200","5930"
"2019-07-18","5920","5930","5740","5760","468000","5760"
"2019-07-19","5740","5830","5700","5820","589100","5820"
"2019-07-22","5750","5850","5740","5820","517300","5820"
"2019-07-23","5800","5910","5750","5860","416200","5860"
"2019-07-24","5910","5950","5880","5910","388900","5910"
"2019-07-25","5930","5950","5870","5930","480400","5930"
"2019-07-26","5910","5930","5790","5890","618900","5890"
"2019-07-29","5870","5890","5840","5880","357300","5880"
"2019-07-30","5910","5950","5860","5890","276500","5890"
"2019-07-31","5860","5890","5440","5670","1410300","5670"
"2019-08-01","5690","5840","5690","5750","660900","5750"
"2019-08-02","5550","5590","5520","5550","520600","5550"
"2019-08-05","5480","5540","5450","5510","639600","5510"
"2019-08-06","5290","5480","5280","5470","461500","5470"
"2019-08-07","5440","5490","5390","5470","557900","5470"
"2019-08-08","5410","5500","5360","5470","515700","5470"
"2019-08-09","5480","5520","5410","5510","472300","5510"
"2019-08-13","5420","5480","5370","5450","451200","5450"
"2019-08-14","5540","5580","5490","5560","417000","5560"
"2019-08-15","5440","5510","5390","5510","328100","5510"
"2019-08-16","5450","5530","5390","5500","440200","5500"
"2019-08-19","5570","5580","5490","5500","293100","5500"
"2019-08-20","5500","5510","5450","5480","382800","5480"
"2019-08-21","5420","5510","5410","5480","380600","5480"
"2019-08-22","5490","5530","5460","5500","282600","5500"
"2019-08-23","5490","5580","5460","5540","373600","5540"
"2019-08-26","5420","5580","5410","5560","492100","5560"
"2019-08-27","5650","5740","5630","5730","659100","5730"
"2019-08-28","5750","5830","5720","5800","537000","5800"
"2019-08-29","5770","5790","5690","5730","393300","5730"
"2019-08-30","5800","5850","5760","5840","505500","5840"
"2019-09-02","5810","5850","5810","5840","217100","5840"
"2019-09-03","5820","5880","5810","5860","183400","5860"
"2019-09-04","5830","5830","5770","5800","319000","5800"
"2019-09-05","5820","5950","5820","5930","407200","5930"
"2019-09-06","6000","6000","5930","5960","366900","5960"
"2019-09-10","5980","6090","5970","6090","418100","6090"
"2019-09-11","6160","6260","6140","6250","550600","6250"
"2019-09-12","6170","6250","6140","6210","659500","6210"
"2019-09-13","6290","6370","6220","6360","815000","6360"
"2019-09-17","6370","6390","6270","6320","545600","6320"
"2019-09-18","6320","6350","6270","6330","464500","6330"
"2019-09-19","6330","6460","6330","6340","565400","6340"
"2019-09-20","6440","6440","6330","6340","660600","6340"
"2019-09-24","6340","6350","6260","6310","546600","6310"
"2019-09-25","6320","6350","6280","6340","398000","6340"
"2019-09-26","6440","6500","6400","6430","568600","6430"
"2019-09-27","6350","6380","6230","6300","442000","6300"
"2019-09-30","6270","6280","6170","6200","432600","6200"
"2019-10-01","6260","6360","6260","6320","395100","6320"
"2019-10-02","6230","6300","6180","6260","476700","6260"
"2019-10-03","6090","6180","6080","6150","539600","6150"
"2019-10-04","6110","6170","6100","6160","460200","6160"
"2019-10-07","6170","6210","6100","6150","422000","6150"
"2019-10-08","6180","6210","6130","6150","436100","6150"
"2019-10-09","6080","6120","6050","6090","510400","6090"
"2019-10-10","6030","6050","5910","6030","599600","6030"
"2019-10-11","6100","6140","6060","6110","414600","6110"
"2019-10-15","6230","6290","6210","6230","480600","6230"
"2019-10-16","6330","6440","6320","6350","541300","6350"
"2019-10-17","6330","6330","6240","6270","392900","6270"
"2019-10-18","6290","6310","6240","6250","331400","6250"
"2019-10-21","6250","6290","6230","6230","184600","6230"
"2019-10-23","6430","6430","6210","6300","570700","6300"
"2019-10-24","6350","6390","6310","6350","386500","6350"
"2019-10-25","6410","6440","6380","6400","455500","6400"
"2019-10-28","6390","6420","6340","6350","324800","6350"
"2019-10-29","6390","6600","6380","6590","541200","6590"
"2019-10-30","6590","6590","6450","6480","625900","6480"
"2019-10-31","6530","6680","6360","6560","632600","6560"
"2019-11-01","6460","6540","6450","6490","511600","6490"
"2019-11-05","6570","6650","6520","6650","438000","6650"
"2019-11-06","6680","6690","6520","6570","464600","6570"
"2019-11-07","6580","6600","6490","6550","470500","6550"
"2019-11-08","6630","6650","6580","6610","417900","6610"
"2019-11-11","6700","6700","6590","6600","481000","6600"
"2019-11-12","6650","6660","6570","6630","375600","6630"
"2019-11-13","6590","6620","6560","6580","428100","6580"
"2019-11-14","6570","6580","6500","6500","294000","6500"
"2019-11-15","6520","6600","6470","6570","354300","6570"
"2019-11-18","6510","6550","6470","6490","285100","6490"
"2019-11-19","6440","6500","6420","6420","314800","6420"
"2019-11-20","6400","6440","6350","6370","402700","6370"
"2019-11-21","6320","6390","6230","6370","466300","6370"
"2019-11-22","6400","6450","6370","6430","348000","6430"
"2019-11-25","6470","6510","6450","6470","241400","6470"
"2019-11-26","6550","6600","6540","6560","429200","6560"
"2019-11-27","6530","6600","6530","6580","263500","6580"
"2019-11-28","6570","6570","6490","6520","279500","6520"
"2019-11-29","6520","6520","6410","6430","458400","6430"
"2019-12-02","6430","6490","6410","6470","271800","6470"
"2019-12-04","6320","6440","6290","6440","586000","6440"
"2019-12-05","6480","6490","6430","6450","260600","6450"
"2019-12-06","6470","6470","6400","6440","305600","6440"
"2019-12-09","6420","6440","6360","6420","289700","6420"
"2019-12-10","6380","6400","6340","6380","311300","6380"
"2019-12-11","6350","6360","6280","6340","465900","6340"
"2019-12-12","6400","6400","6320","6360","472100","6360"
"2019-12-13","6520","6530","6460","6530","550700","6530"
"2019-12-16","6530","6630","6520","6570","492600","6570"
"2019-12-18","6550","6580","6450","6460","424500","6460"
"2019-12-19","6450","6490","6400","6480","425200","6480"
"2019-12-20","6500","6580","6460","6560","506800","6560"
